category,name,discount,badge,sold,url,image
Personal Care,Guardian Soft & Moisturizing Shower Cream 1L,-30%,,10RB+ terjual,https://shopee.co.id/Guardian-Soft-Moisturizing-Shower-Cream-1L-i.186214521.28983661577?extraParams=%7B%22display_model_id%22%3A99812805979%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-7rbk9-m8ohya53ccnld9
Personal Care,Aeris Beaute The Onyx 2.0 - Single Brush,,,670 terjual,https://shopee.co.id/Aeris-Beaute-The-Onyx-2.0-Single-Brush-i.186214521.25597393741?extraParams=%7B%22display_model_id%22%3A276912813394%2C%22model_selection_logic%22%3A2%7D,https://down-id.img.susercontent.com/file/id-11134207-81ztg-mfnusf2aq0p79c
Personal Care,Eskulin Eau De Parfum Twilight Amour 30ml,,Hadiah Gratis,10RB+ terjual,https://shopee.co.id/Eskulin-Eau-De-Parfum-Twilight-Amour-30ml-i.186214521.44023071826?extraParams=%7B%22display_model_id%22%3A261875500175%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/br-11134275-81z1k-mfj8fw5uij9he6
Personal Care,Moell Baby Nourish Hair Lotion 100Ml,-20%,Pilih Lokal,269 terjual,https://shopee.co.id/Moell-Baby-Nourish-Hair-Lotion-100Ml-i.186214521.24086161967?extraParams=%7B%22display_model_id%22%3A241617879951%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134201-7r98z-m0b5pwf0cuvbd7
Personal Care,Posh Body Spray Hijab Purple Wish 150Ml,-36%,,10RB+ terjual,https://shopee.co.id/Posh-Body-Spray-Hijab-Purple-Wish-150Ml-i.186214521.19289788851?extraParams=%7B%22display_model_id%22%3A186815744570%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134201-7qul4-lhycftxmkbf25e
Personal Care,Softex Celana Menstruasi M-L 5s,-20%,,255 terjual,https://shopee.co.id/Softex-Celana-Menstruasi-M-L-5s-i.186214521.44273059206?extraParams=%7B%22display_model_id%22%3A301875290950%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/br-11134275-81z1k-mfj8fy87vrif62
Personal Care,POSH Deo Roll On Brigtening Soft&Smooth Sakura 50ml,-27%,Hadiah Gratis,10RB+ terjual,https://shopee.co.id/POSH-Deo-Roll-On-Brigtening-Soft-Smooth-Sakura-50ml-i.186214521.9390554554?extraParams=%7B%22display_model_id%22%3A94373473623%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-822wu-mnnjnkck6nep79
Personal Care,Natur Conditioner Ginseng 160Ml - Kondisioner Kekuatan Helai Rambut Rontok,-21%,Pilih Lokal,764 terjual,https://shopee.co.id/Natur-Conditioner-Ginseng-160Ml-Kondisioner-Kekuatan-Helai-Rambut-Rontok-i.186214521.10433694528?extraParams=%7B%22display_model_id%22%3A111733457578%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-7rase-m1z01wnivwfh70
Personal Care,Grace and Glow Brightening Sun Body Serum 100Ml,-26%,,10RB+ terjual,https://shopee.co.id/Grace-and-Glow-Brightening-Sun-Body-Serum-100Ml-i.186214521.25677490117?extraParams=%7B%22display_model_id%22%3A119152791074%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-7r98q-luq3ejogb2g7bb
Personal Care,FRES & NATURAL Body Wash Violet Pouch 400ml,-36%,Pilih Lokal,10RB+ terjual,https://shopee.co.id/FRES-NATURAL-Body-Wash-Violet-Pouch-400ml-i.186214521.18473531399?extraParams=%7B%22display_model_id%22%3A165585047313%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-7r98t-lyoj00i5oc2033
Personal Care,POSH Hijab Body Spray Green Blossom 150ml,-36%,,10RB+ terjual,https://shopee.co.id/POSH-Hijab-Body-Spray-Green-Blossom-150ml-i.186214521.23471359331?extraParams=%7B%22display_model_id%22%3A108936296047%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134201-7qukz-lhycfcdk9a0ke0
Personal Care,POSH Body Spray Blaze Pink 150ml,-36%,Hadiah Gratis,8RB+ terjual,https://shopee.co.id/POSH-Body-Spray-Blaze-Pink-150ml-i.186214521.10933251684?extraParams=%7B%22display_model_id%22%3A101715937069%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-7r98p-lzr268s1ybx7d1
Personal Care,POSH Men Body Spray Green Motion 150ml,-36%,Hadiah Gratis,10RB+ terjual,https://shopee.co.id/POSH-Men-Body-Spray-Green-Motion-150ml-i.186214521.23541454650?extraParams=%7B%22display_model_id%22%3A204270984932%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134201-7qul2-lg1rgv8ix6w9c9
Personal Care,Guardian Kids Strawberry Yoghurt Head to Toe Wash 750Ml,-20%,Hadiah Gratis,10RB+ terjual,https://shopee.co.id/Guardian-Kids-Strawberry-Yoghurt-Head-to-Toe-Wash-750Ml-i.186214521.25710883179?extraParams=%7B%22display_model_id%22%3A187293785060%2C%22model_selection_logic%22%3A3%7D,https://down-id.img.susercontent.com/file/id-11134207-7r98t-lr2hc9rk6f0da5
